Repository,Branches,NbBranches,CommitId,Message,Author,DateTime,Date,HourOfDay,Merge,BugFix,SATD,NbModifiedFiles,ModifiedFiles,NbModifiedProdSourceFiles,NbModifiedTestSourceFiles,NbModifications,NbInsertions,NbDeletions
nltk,{'develop'},1,bfd9a31bf0999573eeca1e882ae0e998ed15254a,"updated ignore file. (added ps and pdf)


svn/trunk@23",Edward Loper,2001-05-11 23:46:04+00:00,2001-05-11,23,False,False,False,1,.cvsignore,0,0,3,2,1
nltk,{'develop'},1,2eb6a2a959c4fbb06d147ed302cfdb40d589b763,"Index of the toolkit technical reports.


svn/trunk@24",Edward Loper,2001-05-11 23:46:42+00:00,2001-05-11,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,1b19b254a2dfe86605e3837182a76f998811015f,"A few sample exercises, using the toolkit.


svn/trunk@25",Edward Loper,2001-05-11 23:50:18+00:00,2001-05-11,23,False,False,False,1,exercises-001.tex,0,0,283,283,0
nltk,{'develop'},1,0867f94e134003f9158b5d118b104e6f78efd2bd,"A technical report describing the basic representation types used by
the toolkit, and why they were chosen.


svn/trunk@26",Edward Loper,2001-05-11 23:51:53+00:00,2001-05-11,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,c213f5a5343f66dfa7ab4108dbebd1581af050c6,"Random notes about the toolkit..


svn/trunk@27",Edward Loper,2001-05-11 23:52:12+00:00,2001-05-11,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,463d6c0cc0049d36f06640dddf35496ff3be92ca,"minor edits; added a section on ""Statistical Processing and Visualization""


svn/trunk@28",Edward Loper,2001-05-11 23:53:25+00:00,2001-05-11,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,6287e97f8b755230b84a904de230590bdafa22ab,"Added docs directory to ignore.


svn/trunk@29",Edward Loper,2001-05-11 23:53:58+00:00,2001-05-11,23,False,False,False,1,.cvsignore,0,0,3,2,1
nltk,{'develop'},1,eb254ffa8785235ad327416f3f29731b417ccfd3,"Added lots of content.. a paragraph about locations, wrote the section
on words, most of the section on collectino of words..


svn/trunk@30",Edward Loper,2001-05-12 05:52:13+00:00,2001-05-12,5,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,8d8b0653822ddc9f8cc31f04a94005e87a0972a6,"Added entries for a wordnet tech report and a probability tech
report.


svn/trunk@31",Edward Loper,2001-05-12 05:52:46+00:00,2001-05-12,5,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,a866ab29f784ec6fc9f3510d841e134e283f75b0,"Ignore tables of contents.


svn/trunk@32",Edward Loper,2001-05-12 05:53:06+00:00,2001-05-12,5,False,False,False,1,.cvsignore,0,0,1,1,0
nltk,{'develop'},1,163be52f38e43d6951d55f30c1ff9f054bc5fca8,"Added ""None"" location for Tokens
(re)wrote the Tree section.
Wrote the summary


svn/trunk@33",Edward Loper,2001-05-25 01:28:44+00:00,2001-05-25,1,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,c304a708d48b6505cd28bb211c8858c306daed85,"Added an ignore file.


svn/trunk@34",Edward Loper,2001-05-25 02:16:39+00:00,2001-05-25,2,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,688eddf7b846f2fb5f2a92e438d90d4549f49711,"Added a makefile for technical reports


svn/trunk@35",Edward Loper,2001-05-25 02:17:05+00:00,2001-05-25,2,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,9864a352a76edea3025682962e7332200dfa53a0,"Figures for the reptypes technical report


svn/trunk@36",Edward Loper,2001-05-25 02:26:21+00:00,2001-05-25,2,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,c00eea4d09939ac7a4f6748001daa01688494c69,"ignore file


svn/trunk@37",Edward Loper,2001-05-25 02:28:43+00:00,2001-05-25,2,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,4065448f782ed87c21b7e4abb7a33dfd37d16117,"New Makefiles


svn/trunk@38",Edward Loper,2001-05-25 02:43:46+00:00,2001-05-25,2,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,8f46da402a77ecb4118ab88c02ff75c83f6f9726,"Updated Makefile structure


svn/trunk@39",Edward Loper,2001-05-25 04:48:45+00:00,2001-05-25,4,False,False,False,3,"Makefile
Makefile
Makefile",0,0,110,110,0
nltk,{'develop'},1,5112d9bf0579a0118ebe1e8eb9b3aab7498c2489,"ignore webpage subdirectory and webpage.tgz


svn/trunk@40",Edward Loper,2001-05-25 04:49:21+00:00,2001-05-25,4,False,False,False,1,.cvsignore,0,0,3,2,1
nltk,{'develop'},1,60ec8dc5ed09cd066775d5125d3dd34c9778a78a,"Ignore pdf files


svn/trunk@41",Edward Loper,2001-05-25 04:50:32+00:00,2001-05-25,4,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,92e7db75c04d3c02f35439aadcbf20e05918ad4c,"Updated figures; fixed makefile bug


svn/trunk@42",Edward Loper,2001-05-25 07:51:58+00:00,2001-05-25,7,False,True,False,0,,0,0,0,0,0
nltk,{'develop'},1,19fe696a71c50b347e5d918d9531e24d4bffa59b,"Fixed Makefile bug


svn/trunk@43",Edward Loper,2001-05-25 07:52:15+00:00,2001-05-25,7,False,True,False,0,,0,0,0,0,0
nltk,{'develop'},1,846c1fa56f06ced1cb89a2c7ae72479228edbf62,"Fixed Makefile -- xfer


svn/trunk@44",Edward Loper,2001-05-25 07:52:55+00:00,2001-05-25,7,False,True,False,1,Makefile,0,0,18,12,6
nltk,{'develop'},1,0d036963e037d828efd5ff834d43be11b8c40501,"Updated makefiles to correctly build source and built distributions
and to add them to the web page.


svn/trunk@45",Edward Loper,2001-05-28 03:46:31+00:00,2001-05-28,3,False,False,False,2,"Makefile
Makefile",0,0,57,51,6
nltk,{'develop'},1,9555d44e704f43492d81641f3fe0c58025b401cc,"Initial import


svn/trunk@46",Edward Loper,2001-05-28 03:47:24+00:00,2001-05-28,3,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,0cefc2c79e3e7dbf2f2479698187b98f5b279be7,"Initial import: Representations for printing


svn/trunk@47",Edward Loper,2001-05-28 03:47:53+00:00,2001-05-28,3,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,92349be815479f71de977240b84e1b218b5978af,"Updated makefiles to correctly build source and built distributions
and to add them to the web page; added a distutils setup program to
build distributions.


svn/trunk@48",Edward Loper,2001-05-28 03:48:48+00:00,2001-05-28,3,False,False,False,1,setup.py,1,0,19,19,0
nltk,{'develop'},1,3fcf23da66f2a4ef9caa781f612814c3f174c92d,"CVS ignore file


svn/trunk@49",Edward Loper,2001-05-28 03:49:17+00:00,2001-05-28,3,False,False,False,1,.cvsignore,0,0,3,3,0
nltk,{'develop'},1,6542ebf0b1c79d5da359339f268f1e414511ef94,"Rewrote token.py to conform (mainly) to the reptypes reference
document.  In particular, replaced TextLocationI hierarchy with a
single Location class, which has a span, source, and unit; replaced
Token class with a simple impl that supports __eq__, etc; implemented
TaggedType and modified Tokenizers to work with new classes.


svn/trunk@50",Edward Loper,2001-06-22 07:06:49+00:00,2001-06-22,7,False,False,True,1,token.py,1,0,613,272,341
nltk,{'develop'},1,a1c354c8d74029792c4a80cb0c4c09a5de0a89cf,"Initial import: module for representing text trees.  Defines two
classes:
    - Tree
    - TreeToken


svn/trunk@51",Edward Loper,2001-06-22 07:07:48+00:00,2001-06-22,7,False,False,True,1,tree.py,1,0,151,151,0
nltk,{'develop'},1,20853f0c975d64641176e2efd4fe120e1b342292,"Added a printing report


svn/trunk@52",Edward Loper,2001-06-22 07:09:56+00:00,2001-06-22,7,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,09ce9558a994db3f66f7b735074cb67d8eaa2acb,"Wrote a first draft of the printing report


svn/trunk@53",Edward Loper,2001-06-22 07:10:50+00:00,2001-06-22,7,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,a72d9d638d56e1f71be7127dd18f972f2414ca54,"Added reference documentation
Renamed .source field of tokens to .location
Added chkclass calls
Fixed tokenizers
Changed Token constructor syntax


svn/trunk@54",Edward Loper,2001-06-24 21:20:06+00:00,2001-06-24,21,False,True,False,1,token.py,1,0,409,309,100
nltk,{'develop'},1,02bd82dc9eb2c80f31f40148e8457c035a65217f,"Added chkclass and classeq


svn/trunk@55",Edward Loper,2001-06-24 21:20:32+00:00,2001-06-24,21,False,False,False,1,chktype.py,1,0,21,21,0
nltk,{'develop'},1,23784139a9871e0e28f00aeeb7a991dd5a679f13,"Added reference docs
Added consistancy condition checks
renamed TreeToken.source() to TreeToken.location()
Better printed representations


svn/trunk@56",Edward Loper,2001-06-24 21:21:39+00:00,2001-06-24,21,False,False,False,1,tree.py,1,0,241,206,35
nltk,{'develop'},1,3289ded084441940e8f45531a98614fe224c2100,"Fixed minor bugs:
  - fixed start<end check for Location constructors
  - fixed type check for Location unit


svn/trunk@57",Edward Loper,2001-06-24 21:27:36+00:00,2001-06-24,21,False,True,False,1,token.py,1,0,5,3,2
nltk,{'develop'},1,c9a6379198151ac2b4d77a4286ff656833a8bfac,"Remove manifest so that new distributions include all files. (I don't
want to have to manually edit the manifest file)


svn/trunk@58",Edward Loper,2001-06-24 22:12:49+00:00,2001-06-24,22,False,False,False,1,Makefile,0,0,2,1,1
nltk,{'develop'},1,16e6c7c7d6c87ed97f6518e23e8999e6f2a2c0fc,"Fixed minor bugs:
  - bug in spacing for printing exceptions
  - bug in recursive calls (for complex type specifications)


svn/trunk@59",Edward Loper,2001-06-24 22:13:52+00:00,2001-06-24,22,False,True,False,1,chktype.py,1,0,21,10,11
nltk,{'develop'},1,d9c62a1e35da7f41d7b7d7847645d3742e58da7d,"Added some ref docs to Token.location()
Added __cmp__ methods to Token
Made type checking for Token.__eq__ more restrictive
changed printed rep for unknown locs to @[?]


svn/trunk@60",Edward Loper,2001-06-24 22:15:18+00:00,2001-06-24,22,False,False,False,1,token.py,1,0,26,20,6
nltk,{'develop'},1,1cee098ed06dad1f7e56d317bb44896f37d5839a,"Added lots of ref docs for TreeToken
Added some other ref docs
Added __eq__ and __cmp__ methods to Tree, TreeToken
Added some type checking
changed printed rep for unknown locs to @[?]
Added TreeToken.leaves, TreeToken.nodes


svn/trunk@61",Edward Loper,2001-06-24 22:17:01+00:00,2001-06-24,22,False,False,False,1,tree.py,1,0,284,254,30
nltk,{'develop'},1,e47dda0020d2b8a553a22bf02de981f38422865b,"Added a line to copy the ref docs


svn/trunk@64",Edward Loper,2001-07-10 00:07:29+00:00,2001-07-10,0,False,False,False,1,Makefile,0,0,2,1,1
nltk,{'develop'},1,3544acb6d09f2e4e4058d14fe97ff8c3d90cb851,"*** empty log message ***


svn/trunk@65",Edward Loper,2001-07-10 00:08:40+00:00,2001-07-10,0,False,False,False,1,.cvsignore,0,0,12,12,0
nltk,{'develop'},1,71269ce170ae24127a5a88741baea326e85ef8f0,"Changed makefile to compile tex->pdf


svn/trunk@66",Edward Loper,2001-07-10 00:08:56+00:00,2001-07-10,0,False,False,False,1,Makefile,0,0,20,19,1
nltk,{'develop'},1,bbf9ad4a46e06e8afd358d23cf082ec1c93d7a33,"Updated docstrings to use epytext (for use with epydoc).


svn/trunk@67",Edward Loper,2001-07-10 00:12:01+00:00,2001-07-10,0,False,False,False,1,__init__.py,1,0,146,63,83
nltk,{'develop'},1,85e6c32de0a10dc76b746ef658092971c8301513,"Updated docstrings to use epytext (for use with epydoc);
changed imported types to have leading _.


svn/trunk@68",Edward Loper,2001-07-10 00:12:31+00:00,2001-07-10,0,False,False,False,1,chktype.py,1,0,144,84,60
nltk,{'develop'},1,d94274e878c44557c94225071dc29bac621eb332,"Updated docstrings to use epytext (for use with epydoc);


svn/trunk@69",Edward Loper,2001-07-10 00:13:22+00:00,2001-07-10,0,False,False,False,4,"probability.py
set.py
tagger.py
token.py",4,0,1167,578,589
nltk,{'develop'},1,16265362098f7339364a73ab171d48a54c34cac4,"Updated docstrings to use epytext (for use with epydoc);
Fixed a bug in __getitem__ for Tree and TreeToken


svn/trunk@70",Edward Loper,2001-07-10 00:13:36+00:00,2001-07-10,0,False,True,False,1,tree.py,1,0,56,52,4
nltk,{'develop'},1,4991f544cb3d31ca3f6f6ae684b6c25abf5bbfa9,"initial commit


svn/trunk@71",Edward Loper,2001-07-10 00:16:12+00:00,2001-07-10,0,False,False,False,1,exercises-002.tex,0,0,130,130,0
nltk,{'develop'},1,12d5b6c62266172b0b1b9417ff02a3e7d9dde1b7,"Added some useful metadata to the main nltk package file.


svn/trunk@72",Edward Loper,2001-07-10 01:08:39+00:00,2001-07-10,1,False,False,False,1,__init__.py,1,0,13,13,0
nltk,{'develop'},1,4e69010dd2522f2c93afb59016cc02f26da3bd20,"Initial import


svn/trunk@73",Edward Loper,2001-07-10 01:10:30+00:00,2001-07-10,1,False,False,False,1,mkrefdoc.py,1,0,87,87,0
nltk,{'develop'},1,428b78fa84d507d92936f379add38a69ed26bdb0,"Changed setup.py to get its info from the nltk package


svn/trunk@74",Edward Loper,2001-07-10 01:43:32+00:00,2001-07-10,1,False,False,False,1,setup.py,1,0,7,4,3
nltk,{'develop'},1,731a32656348e99cbdd0fec3b7e08cd03350f8b9,"Removed mkrefdoc.py from the repository: reference documentation
generation is being moved out of the repository.


svn/trunk@75",Edward Loper,2001-07-10 01:49:25+00:00,2001-07-10,1,False,False,False,1,mkrefdoc.py,1,0,87,0,87
nltk,{'develop'},1,a21e74ace82dea4ca5dd5c0a07b23ecaa56e82a5,"Main repository readme file


svn/trunk@76",Edward Loper,2001-07-10 01:49:42+00:00,2001-07-10,1,False,False,False,1,README.TXT,0,0,42,42,0
nltk,{'develop'},1,da212e51ca611f17013befe37b9f2db3109d368d,"Moving functionality out of Makefiles and into cron jobs


svn/trunk@77",Edward Loper,2001-07-10 01:56:54+00:00,2001-07-10,1,False,False,False,2,"Makefile
README.TXT",0,0,111,2,109
nltk,{'develop'},1,93a6fbf2610aea6036690fbddf3dd7bb57d13d2c,"Moving build functionality from makefiles to cron jobs


svn/trunk@78",Edward Loper,2001-07-10 02:01:12+00:00,2001-07-10,2,False,False,False,1,Makefile,0,0,49,0,49
nltk,{'develop'},1,07196f982088525e664efbcba0f0052c16aad46d,"Updated Makefiles


svn/trunk@79",Edward Loper,2001-07-10 02:19:46+00:00,2001-07-10,2,False,False,False,1,Makefile,0,0,9,5,4
nltk,{'develop'},1,3bc56e7e3cd57a2ca568aa7856992a380597f7d7,"Added notes about the contents of the distribution


svn/trunk@80",Edward Loper,2001-07-11 03:55:02+00:00,2001-07-11,3,False,False,False,1,README.TXT,0,0,86,86,0
nltk,{'develop'},1,eaf360af01917d423ac6403b6cfe5aba41f2d62d,"Updated Makefile structure


svn/trunk@81",Edward Loper,2001-07-11 03:55:43+00:00,2001-07-11,3,False,False,False,2,"Makefile
Makefile",0,0,74,74,0
nltk,{'develop'},1,a7d3354e2384f9fa607e8dc62fcdba17d91b6429,"Added copyright/license notices to all files


svn/trunk@82",Edward Loper,2001-07-11 04:43:41+00:00,2001-07-11,4,False,False,True,14,"Makefile
README.TXT
Makefile
exercises-001.tex
exercises-002.tex
Makefile
__init__.py
chktype.py
probability.py
set.py
tagger.py
token.py
tree.py
setup.py",8,0,194,106,88
nltk,{'develop'},1,331fbb26f48e510295eef3f372a342d9f46f68cb,"Added IBM Common Public License (which governs the toolkit)


svn/trunk@83",Edward Loper,2001-07-11 04:44:06+00:00,2001-07-11,4,False,False,False,1,LICENSE.TXT,0,0,243,243,0
nltk,{'develop'},1,1bf768a209de16a7e6ab65012511a189791d0967,"Added notes about problem sets


svn/trunk@84",Edward Loper,2001-07-11 04:50:49+00:00,2001-07-11,4,False,True,False,1,README.TXT,0,0,15,15,0
nltk,{'develop'},1,7d3d5d6bd9feb0339bad86cb9767e67815401eb7,"Created a timetable file; it superseeds plan.notes


svn/trunk@85",Edward Loper,2001-07-11 04:54:06+00:00,2001-07-11,4,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,650e1a445692891472f7897994299425ed41c459,"*** empty log message ***


svn/trunk@86",Edward Loper,2001-07-11 05:01:51+00:00,2001-07-11,5,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,45d9332d90159027f71a9832752bc55b35d60144,"Added documentation meta-data for the technical reports


svn/trunk@87",Edward Loper,2001-07-12 15:00:28+00:00,2001-07-12,15,False,False,False,1,README.TXT,0,0,36,16,20
nltk,{'develop'},1,713c9f60fb3e93629672cb71b7f98ad5f9e2287a,"Moved TaggedType & associated functions/classes to
tagger.py; added documentation; fixed some bugs
(tagger.py is still buggy)


svn/trunk@88",Edward Loper,2001-07-13 18:50:57+00:00,2001-07-13,18,False,True,False,2,"tagger.py
token.py",2,0,411,231,180
nltk,{'develop'},1,d58c8d5f94a0aeb812655eddd0acb11ddb41c16e,"Fixed markup bugs in docs


svn/trunk@89",Edward Loper,2001-07-14 02:46:35+00:00,2001-07-14,2,False,True,False,1,tree.py,1,0,12,6,6
nltk,{'develop'},1,ca3be76c801f87e27a9c8abfce20d613e90c5d05,"Fixed some minor docstring formatting bugs


svn/trunk@90",Edward Loper,2001-07-14 04:46:17+00:00,2001-07-14,4,False,True,False,2,"tagger.py
token.py",2,0,12,6,6
nltk,{'develop'},1,9af123b86381bc93c2b98f372348f2839ba90541,"Added a draw package for graphical representations


svn/trunk@91",Edward Loper,2001-07-14 16:02:49+00:00,2001-07-14,16,False,False,False,2,"__init__.py
tree.py",2,0,50,50,0
nltk,{'develop'},1,a04d69248cb6d62caabfb934eae0e2a719d17e4a,"Fixed bug that prevented NthOrderTagger from training correctly


svn/trunk@92",Edward Loper,2001-07-15 12:03:45+00:00,2001-07-15,12,False,True,False,1,tagger.py,1,0,2,1,1
nltk,{'develop'},1,838ea81bc0014504d113ca1a14d90f833d974dcf,"The two files you want to look at are in the dir nltk/src/nltk.  They are
draw_tree.py and draw_treetoken.py.  I couldnt figure ou twhere to import and
how to do much of anything outside of actually drawing it.  I have suddenly
come up with some ideas of stuff I would improve (just a bit late, I know).

Salim


svn/trunk@93",Salim Zayats,2001-07-24 22:44:47+00:00,2001-07-24,22,False,False,False,2,"token.py
tree.py",2,0,65,48,17
nltk,{'develop'},1,912e60120e9deaff50c8208256594ffc01972d2c,"Tutorial document describing how to use the nltk.probability module.  So far, it contains a discussion of samples and the different Event classes.


svn/trunk@97",Edward Loper,2001-07-31 17:05:51+00:00,2001-07-31,17,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,aacc9a53e566734bb96e56aae5680499355552c8,"Changed repr and str a little.
Defined __cmp__ to raise an exception on locations
Defined __ne__ on locations
minor bug fixes


svn/trunk@98",Edward Loper,2001-07-31 20:59:04+00:00,2001-07-31,20,False,True,False,1,token.py,1,0,61,31,30
nltk,{'develop'},1,3955833dc0d801a53a156d0fbc21f3753cdd5282,"Added ""using events"" subsection, finished the ""events"" section.


svn/trunk@99",Edward Loper,2001-08-01 18:01:40+00:00,2001-08-01,18,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,8e121e18b304b1f6562862d75443bf3e0f961575,"Minor changes.


svn/trunk@100",Edward Loper,2001-08-03 16:58:10+00:00,2001-08-03,16,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,eaba552bc247c961d329182d565a8eaa9b37a473,"Fixed minor bug (checked to see if something was a sample in a broken
way)


svn/trunk@101",Edward Loper,2001-08-03 16:59:52+00:00,2001-08-03,16,False,True,False,1,probability.py,1,0,9,4,5
nltk,{'develop'},1,46b7d461d77b6dd1d595f55470e24ce01adcc87c,"Added length/__len__ methods to Location
Fixed some docstring typos
Changed Token.location() method to Token.loc() (should we have both?)
Changed default units from e.g., 'word' to e.g. 'w'


svn/trunk@102",Edward Loper,2001-08-03 17:01:56+00:00,2001-08-03,17,False,True,False,1,token.py,1,0,71,53,18
nltk,{'develop'},1,3d9b1354408aa127f081602614a64202e9114e83,"Added a module docstring
fixed minor bugs (e.g., ""!= None"" should have been ""is not None"")
fixed some docstring typos/bugs
Added height() methods to Tree and TreeToken
added __ne__ methods to Tree and TreeToken
Removed old test code


svn/trunk@103",Edward Loper,2001-08-03 17:04:07+00:00,2001-08-03,17,False,True,False,1,tree.py,1,0,222,118,104
nltk,{'develop'},1,a42480b780914b0998579e31a267a8a6a3e4441f,"Initial import of the test module: use PyUnit to do unit testing for
all the nltk modules.


svn/trunk@104",Edward Loper,2001-08-03 17:06:39+00:00,2001-08-03,17,False,False,False,3,"__init__.py
token.py
tree.py",3,0,631,631,0
nltk,{'develop'},1,5b6ad14ac07d14e41bc620634f5cd7268a3bf55c,"cvs ignore file


svn/trunk@105",Edward Loper,2001-08-03 17:07:09+00:00,2001-08-03,17,False,False,False,1,.cvsignore,0,0,1,1,0
nltk,{'develop'},1,f37cc849f079615701666fabf92a19a15168c5f2,"metadata for the probability tutorial


svn/trunk@106",Edward Loper,2001-08-03 17:11:31+00:00,2001-08-03,17,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,239c777e47b105ac040b812ddaafe7311e88bcb1,"Updated Makefiles


svn/trunk@107",Edward Loper,2001-08-03 17:31:39+00:00,2001-08-03,17,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,62769332958297955959937782a8de6f9f48a7bc,"Redefined comparison over Locations:
  pred and succ now test for strict precedence/succeding...
  cmp now always succeeds.  It is based on the (start,end) pairs.


svn/trunk@108",Edward Loper,2001-08-10 16:33:13+00:00,2001-08-10,16,False,False,False,1,token.py,1,0,27,10,17
nltk,{'develop'},1,6ac01e908f041e357048130357c3e218389c9a7c,"Replaced __cmp__ with __eq__
Changed implementation to use a dictionary
Added a difference method (and __minus__)
Changed repr methods


svn/trunk@109",Edward Loper,2001-08-10 16:36:09+00:00,2001-08-10,16,False,False,False,1,set.py,1,0,118,70,48
nltk,{'develop'},1,ee4371c5ea9628df5e74c37ad812afdd5585042f,"Added contains, __or__, __and__, difference, __minus__, len, and
comparison methods to the Event interface tree.
Renamed FuncEvent to PredEvent.


svn/trunk@110",Edward Loper,2001-08-10 16:38:53+00:00,2001-08-10,16,False,False,False,1,probability.py,1,0,188,128,60
